taxonRank,kingdom,family,scientificName
forma,Animalia,WAXBILLS_MUNIAS_ALLIES_ESTRILDIDAE,Lonchura striata forma domestica
forma,Animalia,WEASELS_AND_RELATIVES_MUSTELIDAE,Mustela putorius furo
forma,Animalia,WHITES_PIERIDAE,Colias crocea f. helice
forma,Animalia,desmidiaceae,Actinotaenium diplosporum var. diplosporum f. diplosporum
forma,Animalia,desmidiaceae,Actinotaenium diplosporum var. diplosporum f. maius
forma,Animalia,desmidiaceae,Cosmarium subbroomei f. isthmochondrum
forma,Animalia,desmidiaceae,Staurastrum borgeanum f. borgeanum
forma,Animalia,desmidiaceae,Staurastrum borgeanum f. minor
forma,Animalia,desmidiaceae,Xanthidium antilopaeum var. laeve f. laeve
forma,Animalia,desmidiaceae,Xanthidium cristatum var. uncinatum f. polonicum
forma,Animalia,desmidiaceae,Xanthidium cristatum var. uncinatum f. uncinatum
forma,Fungi,AMANITACEAE,Amanita excelsa f. excelsa
forma,Fungi,AMANITACEAE,Amanita excelsa f. spissa
forma,Fungi,AMANITACEAE,Amanita rubescens f. annulosulfurea
forma,Fungi,AMANITACEAE,Amanita rubescens f. rubescens
forma,Fungi,Agaricaceae,Leucoagaricus sericifer f. sericatellus
forma,Fungi,Agaricaceae,Leucoagaricus sericifer f. sericifer
forma,Fungi,Bolbitiaceae,Conocybe siliginea f. rickenii
forma,Fungi,Boletaceae,Xerocomus badius f. badius
forma,Fungi,CANTHARELLACEAE,Cantharellus cibarius f. neglectus
forma,Fungi,Coprinaceae,Psathyrella prona f. prona
forma,Fungi,Cortinariaceae,Cortinarius uliginosus f. luteus
forma,Fungi,Cortinariaceae,Cortinarius uliginosus f. uliginosus
forma,Fungi,Cortinariaceae,Inocybe whitei f. armeniaca
forma,Fungi,DERMATEACEAE,Pezicula cinnamomea teleomorf
forma,Fungi,Entolomataceae,Entoloma clypeatum f. clypeatum
forma,Fungi,Entolomataceae,Entoloma clypeatum f. pallidogriseum
forma,Fungi,Entolomataceae,Entoloma pleopodium f. icterinum
forma,Fungi,Entolomataceae,Entoloma rhodopolium var. nidorosum
forma,Fungi,Entolomataceae,Entoloma rhodopolium var. rhodopolium
forma,Fungi,Entolomataceae,Entoloma sericatum f. saliciphilum
forma,Fungi,FOMITOPSIDACEAE,Postia ptychogaster anamorf
forma,Fungi,FOMITOPSIDACEAE,Postia ptychogaster teleomorf
forma,Fungi,HYGROPHOROPSIDACEAE,Hygrophoropsis aurantiaca f. albida
forma,Fungi,HYGROPHOROPSIDACEAE,Hygrophoropsis aurantiaca f. aurantiaca
forma,Fungi,HYMENOCHAETACEAE,Phylloporia ribis f. evonymi
forma,Fungi,HYMENOCHAETACEAE,Phylloporia ribis f. ribis
forma,Fungi,HYPHODERMATACEAE,Hypochnicium bombycinum f. pinicola
forma,Fungi,INOCYBACEAE,Simocybe haustellaris f. tetraspora
forma,Fungi,INOCYBACEAE,Simocybe sumptuosa f. sumptuosa
forma,Fungi,MYCENACEAE,Mycena pura f. alba
forma,Fungi,MYCENACEAE,Mycena pura f. ianthina
forma,Fungi,MYCENACEAE,Mycena pura f. lutea
forma,Fungi,MYCENACEAE,Mycena pura f. pura
forma,Fungi,Marasmiaceae,Xerula radicata f. alba
forma,Fungi,Marasmiaceae,Xerula radicata f. marginata
forma,Fungi,Marasmiaceae,Xerula radicata f. radicata
forma,Fungi,NECTRIACEAE,Dialonectria episphaeria teleomorf
forma,Fungi,NECTRIACEAE,Neonectria coccinea teleomorf
forma,Fungi,NECTRIACEAE,Neonectria punicea anamorf
forma,Fungi,NECTRIACEAE,Neonectria punicea teleomorf
forma,Fungi,OMPHALOTACEAE,Rhodocollybia butyracea f. asema
forma,Fungi,OMPHALOTACEAE,Rhodocollybia butyracea f. butyracea
forma,Fungi,PEZIZACEAE,Peziza proteana f. proteana
forma,Fungi,PEZIZACEAE,Peziza proteana f. sparassoides
forma,Fungi,POLYPORACEAE,Polyporus ciliatus f. ciliatus
forma,Fungi,POLYPORACEAE,Polyporus ciliatus f. lepideus
forma,Fungi,POLYPORACEAE,Polyporus squamosus f. rostkovii
forma,Fungi,POLYPORACEAE,Polyporus squamosus f. squamosus
forma,Fungi,PSATHYRELLACEAE,Psathyrella olympiana f. amstelodamensis
forma,Fungi,PSATHYRELLACEAE,Psathyrella olympiana f. olympiana
forma,Fungi,PSATHYRELLACEAE,Psathyrella spadiceogrisea f. spadiceogrisea
forma,Fungi,PSATHYRELLACEAE,Psathyrella spadiceogrisea f. vernalis
forma,Fungi,PYRONEMATACEAE,Scutellinia trechisperma f. macropilifera
forma,Fungi,Pluteaceae,Pluteus nanus f. griseopus
forma,Fungi,Pluteaceae,Pluteus nanus f. nanus
forma,Fungi,Pluteaceae,Pluteus podospileus f. minutissimus
forma,Fungi,Pluteaceae,Pluteus podospileus f. podospileus
forma,Fungi,Pluteaceae,Volvariella murinella f. murinella
forma,Fungi,RUSSULACEAE,Russula cyanoxantha f. cutefracta
forma,Fungi,RUSSULACEAE,Russula cyanoxantha f. cyanoxantha
forma,Fungi,RUSSULACEAE,Russula cyanoxantha f. peltereaui
forma,Fungi,SUILLACEAE,Suillus cavipes f. aureus
forma,Fungi,SUILLACEAE,Suillus cavipes f. cavipes
forma,Fungi,Strophariaceae,Galerina atkinsoniana f. atkinsoniana
forma,Fungi,Strophariaceae,Galerina atkinsoniana f. quadrispora
forma,Fungi,Strophariaceae,Galerina vittiformis f. tetraspora
forma,Fungi,Strophariaceae,Galerina vittiformis f. vittiformis
forma,Fungi,Strophariaceae,Stropharia pseudocyanea f. pseudocyanea
forma,Fungi,TAPINELLACEAE,Tapinella panuoides f. ionipus
forma,Fungi,TAPINELLACEAE,Tapinella panuoides f. panuoides
forma,Fungi,THELEPHORACEAE,Thelephora terrestris f. terrestris
forma,Fungi,Tricholomataceae,Hygrocybe conica f. conica
forma,Fungi,Tricholomataceae,Hygrocybe conica f. pseudoconica
forma,Fungi,Tricholomataceae,Melanoleuca grammopodia f. grammopodia
forma,Fungi,Tricholomataceae,Melanoleuca grammopodia f. macrocarpa
forma,Fungi,Tricholomataceae,Melanoleuca polioleuca f. langei
forma,Fungi,Tricholomataceae,Melanoleuca polioleuca f. polioleuca
forma,Fungi,Tricholomataceae,Melanoleuca polioleuca f. pusilla
forma,Fungi,Tricholomataceae,Mycena olivaceomarginata f. olivaceomarginata
forma,Fungi,Tricholomataceae,Mycena olivaceomarginata f. roseofusca
forma,Fungi,Tricholomataceae,Mycena polygramma f. polygramma
forma,Plantae,ASPARAGACEAE,Muscari botryoides (cultivar)
forma,Plantae,Asteraceae,Lactuca serriola f. integrifolia
forma,Plantae,Asteraceae,Lactuca serriola f. serriola
forma,Plantae,Asteraceae,Tripolium pannonicum f. discoideus
forma,Plantae,OXALIDACEAE,Oxalis pes-caprae f. pleniflora
forma,Plantae,PRIMULACEAE,Anagallis arvensis subsp. arvensis f. arvensis
forma,Plantae,PRIMULACEAE,Anagallis arvensis subsp. arvensis f. azurea
forma,Plantae,PRIMULACEAE,Anagallis arvensis subsp. arvensis f. carnea
forma,Plantae,PRIMULACEAE,Anagallis arvensis subsp. arvensis f. pallida
forma,Plantae,Poaceae,Poa annua f. purpurea
forma,Plantae,RANUNCULACEAE,Aquilegia vulgaris (cultivar)
hybrid,Animalia,BUNTINGS_EMBERIZIDAE,Emberiza citrinella x Emberiza leucocephalos
hybrid,Animalia,Bombinatoridae,Bombina bombina x B. variegata
hybrid,Animalia,CARACAS_AND_FALCONS_FALCONIDAE,Falco cherrug x Falco rusticolus
hybrid,Animalia,CARPS_CYPRINIDAE,Abramis brama x Rutilus rutilus
hybrid,Animalia,CARPS_CYPRINIDAE,Cyprinus carpio x C. rubrofuscus
hybrid,Animalia,CARPS_CYPRINIDAE,Cyprinus carpio x Carassius auratus
hybrid,Animalia,CROWS_AND_JAYS_CORVIDAE,Corvus cornix x Corvus corone
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Aix sponsa x Anas platyrhynchos
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Aix sponsa x Anas platyrhynchos forma domestica
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Aix sponsa x Aythya fuligula
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Aix sponsa x Aythya nyroca
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Alopochen aegyptiaca x Anas platyrhynchos
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Alopochen aegyptiaca x Cairina moschata
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Alopochen aegyptiaca x Tadorna ferruginea
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anas acuta x Anas crecca
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anas acuta x Anas platyrhynchos
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anas acuta x Mareca penelope
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anas acuta x Mareca sibilatrix
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anas bahamensis x Aix sponsa
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anas bahamensis x Anas capensis
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anas bahamensis x Anas platyrhynchos
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anas carolinensis x Anas crecca
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anas crecca x Anas platyrhynchos
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anas crecca x Mareca penelope
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anas crecca x Mareca strepera
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anas platyrhynchos x Anas acuta
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anas platyrhynchos x Anas poecilorhyncha
